1,1,"Then Solomon sat on the throne of the LORD as king instead of David his father, and prospered; and all Israel obeyed him."
1,2,"And Solomon spake unto all Israel, to the captains of thousands and of hundreds, and to the judges, and to every governor in all Israel, the chief of the fathers."
1,7,"And now, O LORD my God, thou hast made thy servant king instead of David my father: and I am but a little child: I know not how to go out or come in."
1,30,"And it came to pass, when Joab heard the sounding of the cornet, that the people did flee from him, and his men after him."
2,3,"And keep the charge of the LORD thy God, to walk in his ways, to keep his statutes, and his commandments, and his judgments, and his testimonies, as it is written in the law of Moses, that thou mayest prosper in all that thou doest, and whithersoever thou turnest thyself:"
3,5,"In Gibeon the LORD appeared to Solomon in a dream by night: and God said, Ask what I shall give thee."
4,7,"And Solomon had twelve officers over all Israel, which provided victuals for the king and his household: each man his month in a year did make provision."
5,12,"And the LORD gave Solomon wisdom, as he promised him: and there was peace between Hiram and Solomon; and they two made a league together."
6,13,"And he said unto me, Solomon thy son, he shall build my house and my courts: for I have chosen him to be my son, and I will be his father."
8,23,"And he stood before the altar of the LORD in the presence of all the congregation of Israel, and spread forth his hands toward heaven:"
9,3,"And the LORD said unto him, I have heard thy prayer and thy supplication, that thou hast made before me: I have hallowed this house, which thou hast built, to put my name there for ever; and mine eyes and mine heart shall be there perpetually."
10,9,"Blessed be the LORD thy God, who delighted in thee, to set thee on the throne of Israel: because the LORD loved Israel for ever, therefore made he thee king, to do judgment and justice."
11,10,"And had commanded him concerning this thing, that he should not go after other gods: but he kept not that which the LORD commanded."
12,24,"Yet Jeroboam the son of Nebat, the servant of Solomon, the son of David, is risen up, and hath gathered unto him a multitude; and they have rebelled against me."
14,8,"And thou, even thou, hadst commiseration on the rich, and didst behold the poor, and didst take measures to provide for them."
16,24,"In his days did Hiel the Bethelite build Jericho: he laid the foundation thereof in Abiram his firstborn, and set up the gates thereof in his youngest son Segub, according to the word of the LORD, which he spake by Joshua the son of Nun."
18,13,"Was it not told my lord what I did when Jezebel slew the prophets of the LORD, how I hid an hundred men of the LORD's prophets by fifty in a cave, and fed them with bread and water?"
20,11,"And the king of Israel answered and said, Tell him, Let not him that girdeth on his harness boast himself as he that putteth it off."
21,20,"And Ahab said to Elijah, Hast thou found me, O mine enemy? And he answered, I have found thee: because thou hast sold thyself to work evil in the sight of the LORD."
22,17,"And he said, I saw all Israel scattered upon the hills, as sheep that have not a shepherd: and the LORD said, These have no master: let them return every man to his house in peace."
