"chapter","verse","text"
"1","21","And said, Naked came I out of my mother's womb, and naked shall I return thither: the Lord gave, and the Lord hath taken away; blessed be the name of the Lord."
"2","3","And the Lord said, Who is this that darkeneth counsel by words without knowledge?"
"3","20","Why is light given to him that is in misery, and life unto the bitter in soul;"
"4","17","Shall mortal man be more just than God? shall a man be more pure than his maker?"
"5","19","He is wounded in the loins of his enemies, and getteth not avenged."
"6","24","Teach me, and I will hold my tongue: and cause me to understand wherein I have erred."
"7","17","What is man, that thou shouldest magnify him, and that thou shouldest set thine heart upon him?"
"8","13","Lo, all these things worketh God oftentimes with man,"
"9","10","He hath stripped me of my glory, and taken the crown from my head."
"10","12","Thou hast granted me life and favour, and thy visitation hath preserved my spirit."
"11","7","Canst thou by searching find out God? canst thou find out the Almighty unto perfection?"
"12","22","Even in darkness light is not hidden, and he discovereth the deep things of darkness."
"13","28","And he said unto me, The Lord maketh thee poor, and maketh thee rich: he bringeth low, and lifteth up."
"14","14","If a man die, shall he live again? all the days of my appointed time will I wait, till my change come."
"15","31","His roots are wrapped about the heap, and seeth the place of stones."
"16","23","Though he slay me, yet will I trust in him: but I will maintain mine own ways before him."
"17","11","My days are past, my purposes are broken off, even the thoughts of my heart."
"18","12","It profiteth a man nothing that he should delight himself in God."
"19","25","For I know that my redeemer liveth, and that he shall stand at the latter day upon the earth:"
"20","29","If it be not he, who is it that can declare it unto me, and make it known to me?"
