"chapter","verse","text"
1,1,""Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.""")
1,2,"""But his delight is in the law of the Lord; and in his law doth he meditate day and night."""
2,1,"""Why do the heathen rage, and the people imagine a vain thing?""")
2,7,"""I will declare the decree: the Lord hath said unto me, Thou art my Son; this day have I begotten thee.""")
4,1,"""Hear me when I call, O God of my righteousness: thou hast enlarged me when I was in distress; have mercy upon me, and hear my prayer.""")
5,3,"""My voice shalt thou hear in the morning, O Lord; in the morning will I direct my prayer unto thee, and will look up.""")
5,11,"""But let all those that put their trust in thee rejoice: let them ever shout for joy, because thou defendest them: let them also that love thy name be joyful in thee.""")
6,4,""""Return, O Lord, deliver my soul: oh save me for thy mercies' sake.""")
7,1,"""O Lord my God, in thee do I put my trust: save me from all them that persecute me, and deliver me.""")
8,1,"""O Lord our Lord, how excellent is thy name in all the earth! who hast set thy glory above the heavens.""")
9,1,"""I will praise thee, O Lord, with my whole heart; I will shew forth all thy marvellous works.""")
10,1,"""Why standest thou afar off, O Lord? why hidest thou thyself in times of trouble?""")
11,3,"""If the foundations be destroyed, what can the righteous do?""")
12,1,"""Help, Lord; for the godly man ceaseth; for the faithful fail from among the children of men.""")
13,1,""""How long wilt thou forget me, O Lord? for ever? how long wilt thou hide thy face from me?""")
14,1,"""The fool hath said in his heart, There is no God. They are corrupt, they have done abominable works, there is none that doeth good.""")
15,1,"""Lord, who shall abide in thy tabernacle? who shall dwell in thy holy hill?""")
16,1,""""Preserve me, O God: for in thee do I put my trust.""")
17,6,"""I have called upon thee, for thou wilt hear me, O God: incline thine ear unto me, and hear my speech.""")
17,15,"""As for me, I will behold thy face in righteousness: I shall be satisfied, when I awake, with thy likeness.""")
18,2,"""The Lord is my rock, and my fortress, and my deliverer; my God, my strength, in whom I will trust; my buckler, and the horn of my salvation, and my high tower.""")
19,1,"""The heavens declare the glory of God; and the firmament sheweth his handywork.""")
20,4,"""Grant thee according to thine own heart, and fulfil all thy counsel.""")
21,1,"""The king shall joy in thy strength, O Lord; and in thy salvation how greatly shall he rejoice!""")
22,1,""""My God, my God, why hast thou forsaken me? why art thou so far from helping me, and from the words of my roaring?""")
23,1,""""The Lord is my shepherd; I shall not want.""")
24,3,"""Who shall ascend into the hill of the Lord? or who shall stand in his holy place?""")
25,4,""""Shew me thy ways, O Lord; teach me thy paths.""")
26,1,""""Judge me, O Lord; for I have walked in mine integrity: I have trusted also in the Lord; I shall not slide.""")
27,1,""""The Lord is my light and my salvation; whom shall I fear? the Lord is the strength of my life; of whom shall I be afraid?""")
28,1,""""Unto thee will I cry, O Lord my rock; be not silent to me: lest, if thou be silent to me, I become like them that go down into the pit.""")
29,1,""""Give unto the Lord, O ye mighty, give unto the Lord glory and strength.""")
30,1,""""I will extol thee, O Lord; for thou hast lifted me up, and hast not made my foes to rejoice over me.""")
