1,1,"Trust in the Lord with all thine heart; and lean not unto thine own understanding."
2,24,"A man hath no better thing under the sun, than to eat, and to drink, and to be merry: for that shall abide with him of his labour the days of his life, which God giveth him under the sun."
3,11,"He hath made every thing beautiful in his time: also he hath set the world in their heart, so that no man can find out the work that God maketh from the beginning to the end."
3,12,"I know that there is no good in them, but for a man to rejoice, and to do good in his life."
5,10,"He that loveth silver shall not be satisfied with silver; nor he that loveth abundance with increase: this is also vanity."
5,20,"For he shall not much remember the days of his life; because God answereth him in the joy of his heart."
6,1,"There is an evil which I have seen under the sun, and it is common among men:"
7,2,"It is better to go to the house of mourning, than to go to the house of feasting: for that is the end of all men; and the living will lay it to his heart."
7,10,"Say not thou, What is the cause that the former days were better than these? for thou dost not inquire wisely concerning this."
8,1,"Who is as the wise man? and who knoweth the interpretation of a thing? a man's wisdom maketh his face to shine, and the boldness of his face shall be changed."
9,9,"Live joyfully with the wife whom thou lovest all the days of the life of thy vanity, which he hath given thee under the sun, all the days of thy vanity: for that is thy portion in this life, and in thy labour which thou takest under the sun."
10,11,"If the iron be blunt, and he do not whet the edge, then must he put to more strength: but wisdom is profitable to direct."
12,1,"Remember now thy Creator in the days of thy youth, while the evil days come not, nor the years draw nigh, when thou shalt say, I have no pleasure in them."
12,13,"Let us hear the conclusion of the whole matter: Fear God, and keep his commandments: for this is the whole duty of man."
