"chapter","verse","text"
"4","19","Then said Jesus unto his disciples, If any man will come after me, let him deny himself, and take up his cross, and follow me."
"5","14","Ye are the light of the world. A city that is set on an hill cannot be hid."
"7","7","Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:"
"9","22","But Jesus turned him about, and when he saw her, he said, Daughter, be of good comfort; thy faith hath made thee whole. And the woman was made whole from that hour."
"10","8","Freely ye have received, freely give."
"11","28","Come unto me, all ye that labour and are heavy laden, and I will give you rest."
"13","44","Again, the kingdom of heaven is like unto treasure hid in a field; the which when a man hath found, he hideth, and for joy thereof goeth and selleth all that he hath, and buyeth that field."
"14","27","But straightway Jesus spake unto them, saying, Be of good cheer; it is I; be not afraid."
"16","24","Then said Jesus unto his disciples, If any man will come after me, let him deny himself, and take up his cross, and follow me."
"17","20","And Jesus said unto them, Because of your unbelief: for verily I say unto you, If ye have faith as a grain of mustard seed, ye shall say unto this mountain, Remove hence to yonder place; and it shall remove; and nothing shall be impossible unto you."
"20","26","But it shall not be so among you: but whosoever will be great among you, let him be your minister;"
"21","22","And all things, whatsoever ye shall ask in prayer, believing, ye shall receive."
"22","37","Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind."
"23","12","And whosoever shall exalt himself shall be abased; and he that shall humble himself shall be exalted."
"24","42","Watch therefore: for ye know not what hour your Lord doth come."
"25","40","And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done it unto one of the least of these my brethren, ye have done it unto me."
"26","41","Watch and pray, that ye enter not into temptation: the spirit indeed is willing, but the flesh is weak."
"27","46","And about the ninth hour Jesus cried with a loud voice, saying, Eli, Eli, lama sabachthani? that is to say, My God, my God, why hast thou forsaken me?"
"28","19","Go ye therefore, and teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Ghost:"
"28","20","Teaching them to observe all things whatsoever I have commanded you: and, lo, I am with you alway, even unto the end of the world. Amen."
