1,4,"And, behold, there was a man in Jerusalem, whose name was Simeon; and the same man was just and devout, waiting for the consolation of Israel: and the Holy Ghost was upon him."
1,28,"And the angel came in unto her, and said, Hail, thou that art highly favoured, the Lord is with thee: blessed art thou among women."
1,37,"For with God nothing shall be impossible."
1,46,"And Mary said, My soul doth magnify the Lord,"
2,10,"And the angel said unto them, Fear not: for, behold, I bring you good tidings of great joy, which shall be to all people."
2,14,"Glory to God in the highest, and on earth peace, good will toward men."
2,19,"But Mary kept all these things, and pondered them in her heart."
2,30,"For mine eyes have seen thy salvation,"
2,52,"And Jesus increased in wisdom and stature, and in favour with God and man."
3,4,"As it is written in the book of the words of Esaias the prophet, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight."
3,22,"And the Holy Ghost descended in a bodily shape like a dove upon him, and a voice came from heaven, which said, Thou art my beloved Son; in thee I am well pleased."
4,4,"And Jesus answered him, saying, It is written, That man shall not live by bread alone, but by every word of God."
4,18,"The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised,"
4,23,"And he said unto them, Ye will surely say unto me this proverb, Physician, heal thyself: whatsoever we have heard done in Capernaum, do also here in thy country."
5,11,"And when they had this done, they inclosed a net withal, and cast it into the sea: and their net brake."
5,12,"And as he entered into a certain village, there met him ten men that were lepers, which stood afar off:"
5,20,"And when he saw their faith, he said unto him, Man, thy sins are forgiven thee."
5,27,"And after these things he went forth, and saw a publican, named Levi, sitting at the receipt of custom: and he said unto him, Follow me."
5,32,"I came not to call the righteous, but sinners to repentance."
6,27,"But I say unto you which hear, Love your enemies, do good to them which hate you,"
6,37,"Judge not, and ye shall not be judged: condemn not, and ye shall not be condemned: forgive, and ye shall be forgiven:"
6,45,"A good man out of the good treasure of his heart bringeth forth that which is good; and an evil man out of the evil treasure of his heart bringeth forth that which is evil: for of the abundance of the heart his mouth speaketh."
7,22,"Then Jesus answering said unto them, Go your way, and tell John what things ye have seen and heard; how that the blind see, the lame walk, the lepers are cleansed, and the deaf hear, the dead are raised, to the poor the gospel is preached."
7,50,"And he said to the woman, Thy faith hath saved thee; go in peace."
8,11,"Now the parable is this: The seed is the word of God."
9,16,"Then he took the five loaves and the two fishes, and looking up to heaven, he blessed them, and brake, and gave to the disciples to set before the multitude."
9,23,"And he said to them all, If any man will come after me, let him deny himself, and take up his cross daily, and follow me."
9,48,"And said unto them, Whosoever receiveth this child in my name receiveth me: and whosoever receiveth me receiveth him that sent me: for he that is least among you all, the same shall be great."
10,20,"Notwithstanding in this rejoice not, that the spirits are subject unto you; but rather rejoice, because your names are written in heaven."
10,27,"And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself."
11,9,"And I say unto you, Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you."
11,28,"But he said, Yea rather, blessed are they that hear the word of God, and keep it."
12,15,"And he said unto them, Take heed, and beware of covetousness: for a man's life consisteth not in the abundance of the things which he possesseth."
12,22,"And he said unto his disciples, Therefore I say unto you, Take no thought for your life, what ye shall eat; neither for the body, what ye shall put on."
12,48,"But he that knew not, and did commit things worthy of stripes, shall be beaten with few stripes. For unto whomsoever much is given, of him shall be much required: and to whom men have committed much, of him they will ask the more."
13,24,"Strive to enter in at the strait gate: for many, I say unto you, will seek to enter in, and shall not be able."
13,30,"And, behold, there are last which shall be first, and there are first which shall be last."
14,11,"For whosoever exalteth himself shall be abased; and he that humbleth himself shall be exalted."
14,33,"So likewise, whosoever he be of you that forsaketh not all that he hath, he cannot be my disciple."
15,10,"Likewise, I say unto you, there is joy in the presence of the angels of God over one sinner that repenteth."
15,20,"And he arose, and came to his father. But when he was yet a great way off, his father saw him, and had compassion, and ran, and fell on his neck, and kissed him."
17,6,"And the Lord said, If ye had faith as a grain of mustard seed, ye might say unto this sycamine tree, Be thou plucked up by the root, and be thou planted in the sea; and it should obey you."
17,33,"Whosoever shall seek to save his life shall lose it; and whosoever shall lose his life shall preserve it."
18,1,"And he spake a parable unto them to this end, that men ought always to pray, and not to faint;"
18,27,"And he said, The things which are impossible with men are possible with God."
19,26,"For I say unto you, That unto every one which hath shall be given; and from him that hath not, even that he hath shall be taken away from him."
19,46,"Saying unto them, It is written, My house is the house of prayer; but ye have made it a den of thieves."
20,38,"For he is not a God of the dead, but of the living: for all live unto him."
21,15,"And it shall come to pass, that every one that is left in thine house, and hath not been brought forth into captivity, shall die by the sword."
22,32,"But I have prayed for thee, that thy faith fail not: and when thou art converted, strengthen thy brethren."
22,40,"And when he was at the place, he said unto them, Pray that ye enter not into temptation."
23,34,"Then said Jesus, Father, forgive them; for they know not what they do. And they parted his raiment, and cast lots."
23,43,"And Jesus said unto him, Verily I say unto thee, To day shalt thou be with me in paradise."
24,27,"And beginning at Moses and all the prophets, he expounded unto them in all the scriptures the things concerning himself."
24,49,"And, behold, I send the promise of my Father upon you: but tarry ye in the city of Jerusalem, until ye be endued with power from on high."
