1,1,"Therefore being justified by faith, we have peace with God through our Lord Jesus Christ:"
1,2,"By whom also we have access by faith into this grace wherein we stand, and rejoice in hope of the glory of God."
1,16,"For I am not ashamed of the gospel of Christ: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek."
2,4,"Or despisest thou the riches of his goodness and forbearance and longsuffering; not knowing that the goodness of God leadeth thee to repentance?"
3,24,"Being justified freely by his grace through the redemption that is in Christ Jesus:"
4,7,"Saying, Blessed are they whose iniquities are forgiven, and whose sins are covered."
5,8,"But God commendeth his love toward us, in that, while we were yet sinners, Christ died for us."
6,23,"For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord."
7,24,"O wretched man that I am! who shall deliver me from the body of this death?"
8,1,"There is therefore now no condemnation to them which are in Christ Jesus, who walk not after the flesh, but after the Spirit."
8,28,"And we know that all things work together for good to them that love God, to them who are the called according to his purpose."
8,38,"For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come,"
9,33,"As it is written, Behold, I lay in Sion a stumblingstone and rock of offence: and whosoever believeth on him shall not be ashamed."
10,9,"That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved."
11,6,"And if by grace, then is it no more of works: otherwise grace is no more grace. But if it be of works, then is it no more grace: otherwise work is no more work."
12,1,"I beseech you therefore, brethren, by the mercies of God, that ye present your bodies a living sacrifice, holy, acceptable unto God, which is your reasonable service."
12,2,"And be not conformed to this world: but be ye transformed by the renewing of your mind, that ye may prove what is that good, and acceptable, and perfect, will of God."
13,8,"Owe no man any thing, but to love one another: for he that loveth another hath fulfilled the law."
14,8,"For whether we live, we live unto the Lord; and whether we die, we die unto the Lord: whether we live therefore, or die, we are the Lord's."
15,13,"Now the God of hope fill you with all joy and peace in believing, that ye may abound in hope, through the power of the Holy Ghost."
