1,1,"Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, which is our hope;"
1,5,"Now the end of the commandment is charity out of a pure heart, and of good conscience, and of faith unfeigned:"
1,14,"And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus."
1,17,"Now unto the King eternal, immortal, invisible, the only wise God, be honour and glory for ever and ever. Amen."
2,1,"I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;"
2,5,"For there is one God, and one mediator between God and men, the man Christ Jesus;"
3,1,"This is a true saying, If a man desire the office of a bishop, he desireth a good work."
4,7,"But refuse profane and old wives' fables, and exercise thyself rather unto godliness."
4,12,"Let no man despise thy youth; but be thou an example of the believers, in word, in conversation, in charity, in spirit, in faith, in purity."
6,12,"Fight the good fight of faith, lay hold on eternal life, whereunto thou art also called, and hast professed a good profession before many witnesses."
