1,1,"There was a certain man of Ramathaim-zophim, of mount Ephraim, and his name was Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephrathite:"
1,17,"Then Eli answered and said, Go in peace: and the God of Israel grant thee thy petition that thou hast asked of him."
1,27,"For this child I prayed; and the Lord hath given me my petition which I asked of him:"
2,2,"There is none holy as the Lord: for there is none beside thee: neither is there any rock like our God."
2,9,"He will keep the feet of his saints, and the wicked shall be silent in darkness; for by strength shall no man prevail."
2,26,"And the child Samuel grew on, and was in favour both with the Lord, and also with men."
3,9,"Therefore Eli said unto Samuel, Go, lie down: and it shall be, if he call thee, that thou shalt say, Speak, Lord; for thy servant heareth."
4,18,"And it came to pass, when he made mention of the ark of God, that he fell from off the chair backward by the side of the gate, and his neck brake, and he died: for he was an old man, and heavy."
7,12,"Then Samuel took a stone, and set it between Mizpeh and Shen, and called the name of it Ebenezer, saying, Hitherto hath the Lord helped us."
8,10,"And all that Samuel said unto the people, that spake the people of Israel, saying, The Lord hath said it."
10,24,"And Samuel said to all the people, See ye him whom the Lord hath chosen, that there is none like him among all the people? and all the people shouted, and said, God save the king."
12,14,"If ye will fear the Lord, and serve him, and obey his voice, and not rebel against the commandment of the Lord, then shall both ye and also the king that reigneth over you continue following the Lord your God:"
12,24,"Only fear the Lord, and serve him in truth with all your heart: for consider how great things he hath done for you."
13,14,"But now thy kingdom shall not continue: the Lord hath sought him a man after his own heart, and the Lord hath commanded him to be captain over his people, because thou hast not kept that which the Lord commanded thee."
14,45,"As the Lord liveth, there shall not one hair of his head fall to the ground; for he hath wrought of God with us this day. so he hath delivered him out of our hand."
16,7,"But the Lord said unto Samuel, Look not on his countenance, or on the height of his stature; because I have refused him: for the Lord seeth not as man seeth; for man looketh on the outward appearance, but the Lord looketh on the heart."
17,47,"And all this assembly shall know that the Lord saveth not with sword and spear: for the battle is the Lord's, and he will give you into our hands."
20,17,"And Jonathan caused David to swear again, because he loved him: for he loved him as he loved his own soul."
23,16,"And Jonathan David's son rose up, and went to David, who was in the wood, and strengthened his hand in God."
24,12,"May the Lord avenge the wrong which I have done unto thee, for thou hast shewed me kindness this day, and thou hast quit me, whereas I had devoted thee to death."
25,29,"Yet a man is risen to pursue thee, and to seek thy soul: but the soul of my lord shall be bound in the bundle of life with the Lord thy God; and the souls of thine enemies, them shall he sling out, as out of the middle of a sling."
27,8,"And David and his men went up, and invaded the Geshurites, and the Gezrites, and the Amalekites: for those nations were of old the inhabitants of the land, as thou goest to Shur, even unto the land of Egypt."
28,13,"And the king said unto her, Be not afraid: for what sawest thou? And the woman said unto Saul, I saw gods ascending out of the earth."
30,6,"And David was greatly distressed; for the people spake of stoning him, because the soul of all the people was grieved, every man for his sons and for his daughters: but David encouraged himself in the Lord his God."
