Name,Daily Verses 150,Daily Verses All,Daily Verses 50,Daily Verses 30,Used
Genesis,50,1533,50,30,FALSE
Exodus,40,1213,40,24,FALSE
Leviticus,20,859,20,12,FALSE
Numbers,30,1288,30,18,FALSE
Deuteronomy,35,959,35,21,FALSE
Joshua,25,658,25,15,FALSE
Judges,20,618,20,12,FALSE
Ruth,10,85,10,6,FALSE
1 Samuel,30,810,30,18,FALSE
2 Samuel,25,695,25,15,FALSE
1 Kings,25,816,25,15,FALSE
2 Kings,25,719,25,15,FALSE
1 Chronicles,20,942,20,12,FALSE
2 Chronicles,20,822,20,12,FALSE
Ezra,15,280,15,9,FALSE
Nehemiah,15,406,15,9,FALSE
Esther,10,167,10,6,FALSE
Job,30,1070,30,18,FALSE
Psalms,150,2461,50,30,FALSE
Proverbs,100,915,50,30,FALSE
Ecclesiastes,20,222,20,12,FALSE
Song of Solomon,10,117,10,6,FALSE
Isaiah,50,1292,50,30,FALSE
Jeremiah,45,1364,45,27,FALSE
Lamentations,15,154,15,9,FALSE
Ezekiel,40,1273,40,24,FALSE
Daniel,25,357,25,15,FALSE
Hosea,15,197,15,9,FALSE
Joel,10,73,10,6,FALSE
Amos,15,146,15,9,FALSE
Obadiah,5,21,5,3,FALSE
Jonah,10,48,10,6,FALSE
Micah,15,105,15,9,FALSE
Nahum,10,47,10,6,FALSE
Habakkuk,10,56,10,6,FALSE
Zephaniah,10,53,10,6,FALSE
Haggai,5,38,5,3,FALSE
Zechariah,20,211,20,12,FALSE
Malachi,10,55,10,6,FALSE
Matthew,40,1071,40,24,FALSE
Mark,30,678,30,18,FALSE
Luke,40,1151,40,24,FALSE
John,40,879,40,24,FALSE
Acts,35,1007,35,21,FALSE
Romans,30,433,30,18,FALSE
1 Corinthians,25,437,25,15,FALSE
2 Corinthians,20,257,20,12,FALSE
Galatians,15,149,15,9,FALSE
Ephesians,15,155,15,9,FALSE
Philippians,15,104,15,9,FALSE
Colossians,15,95,15,9,FALSE
1 Thessalonians,10,89,10,6,FALSE
2 Thessalonians,10,47,10,6,FALSE
1 Timothy,15,113,15,9,FALSE
2 Timothy,10,83,10,6,FALSE
Titus,10,46,10,6,FALSE
Philemon,5,25,5,3,FALSE
Hebrews,25,303,25,15,FALSE
James,15,108,15,9,FALSE
1 Peter,15,105,15,9,FALSE
2 Peter,10,61,10,6,FALSE
1 John,15,105,15,9,FALSE
2 John,5,13,5,3,FALSE
3 John,5,14,5,3,FALSE
Jude,5,25,5,3,FALSE
Revelation,30,404,30,18,FALSE
